,t,Q,P,h,Target,dt,tIn,tOff,PRDay
36,2023-10-26 09:05:55,70.86839,147.7957,274.172293126,174.5175476586345,16.000833333333333,2023-10-26,2023-10-26 16:05:58,77.53836882047503
37,2023-10-26 09:20:55,69.25408,145.9809,274.913440158,170.84290416848197,16.000833333333333,2023-10-26,2023-10-26 16:05:58,78.1602055247368
38,2023-10-26 09:35:55,70.5305,147.0428,275.043049112,174.2370892326904,16.000833333333333,2023-10-26,2023-10-26 16:05:58,77.26754612098603
39,2023-10-26 09:50:55,71.41006,149.38,274.06124344,175.78021546792363,16.000833333333333,2023-10-26,2023-10-26 16:05:58,77.80659785527723
40,2023-10-26 10:05:55,69.51151,146.3354,274.78372923,171.48529728382763,16.000833333333333,2023-10-26,2023-10-26 16:05:58,78.09669506494654
41,2023-10-26 10:20:55,70.91665,147.4451,274.302004054,174.71901121276602,16.000833333333333,2023-10-26,2023-10-26 16:05:58,77.26523759499435
42,2023-10-26 10:35:55,70.81475,148.3144,274.024124904,174.29121461905572,16.000833333333333,2023-10-26,2023-10-26 16:05:58,77.91153951762625
43,2023-10-26 10:50:55,70.56268,149.9777,274.11681927,173.72956075574461,16.000833333333333,2023-10-26,2023-10-26 16:05:58,79.03999986293292
44,2023-10-26 11:05:55,70.48224,147.3448,274.431714982,173.6573431005146,16.000833333333333,2023-10-26,2023-10-26 16:05:58,77.65185030441513
45,2023-10-26 11:20:55,70.88448,148.7693,274.264987492,174.61618590992694,16.000833333333333,2023-10-26,2023-10-26 16:05:58,78.00506175730429
46,2023-10-26 11:35:55,69.20581,145.4494,275.06160838,170.81584075226056,16.000833333333333,2023-10-26,2023-10-26 16:05:58,77.88797134864555
47,2023-10-26 11:50:55,69.87621,146.7069,274.746610694,172.3617280554122,16.000833333333333,2023-10-26,2023-10-26 16:05:58,77.89684138400638
48,2023-10-26 12:05:55,68.59978,145.5091,275.080167648,169.33144401442328,16.000833333333333,2023-10-26,2023-10-26 16:05:58,78.6030039871788
49,2023-10-26 12:20:55,70.27308,147.3321,274.487290812,173.17706860179365,16.000833333333333,2023-10-26,2023-10-26 16:05:58,77.86049175715364
50,2023-10-26 12:35:55,70.04246,146.8401,274.709594132,172.74853484879694,16.000833333333333,2023-10-26,2023-10-26 16:05:58,77.79298679530187
51,2023-10-26 12:50:55,70.66458,148.1628,274.39459644600004,174.1567483355656,16.000833333333333,2023-10-26,2023-10-26 16:05:58,77.89199595657537
52,2023-10-26 13:05:55,69.13609,145.6182,275.00603255,170.60927742987172,16.000833333333333,2023-10-26,2023-10-26 16:05:58,78.072774990425
53,2023-10-26 13:20:58,70.59486,148.0106,274.431714982,174.00845524424648,16.000833333333333,2023-10-26,2023-10-26 16:05:58,77.87829427848477
54,2023-10-26 13:35:58,69.69922,146.6621,274.820745792,171.97154238481477,16.000833333333333,2023-10-26,2023-10-26 16:05:58,78.04973988274058
55,2023-10-26 13:50:58,68.09029,144.7712,275.2839117,168.09592451740002,16.000833333333333,2023-10-26,2023-10-26 16:05:58,78.73125099027409
56,2023-10-26 14:05:58,69.56514,146.5293,275.35804679800003,171.97629581891633,16.000833333333333,2023-10-26,2023-10-26 16:05:58,77.97691184487428
57,2023-10-26 14:20:58,68.7124,144.3964,275.17276004,169.6665255942328,16.000833333333333,2023-10-26,2023-10-26 16:05:58,77.84788187972616
58,2023-10-26 14:35:58,68.3209,144.6876,275.376606066,168.72202968108405,16.000833333333333,2023-10-26,2023-10-26 16:05:58,78.39379405252537
59,2023-10-26 14:50:58,69.34525,146.017,275.72851834,171.5750025261691,16.000833333333333,2023-10-26,2023-10-26 16:05:58,77.84594744476055
60,2023-10-26 15:05:58,68.47106,144.3625,275.265454406,169.02460583105875,16.000833333333333,2023-10-26,2023-10-26 16:05:58,78.0776304375267
61,2023-10-26 15:20:58,69.76894,146.404,274.802288498,172.1320038282408,16.000833333333333,2023-10-26,2023-10-26 16:05:58,77.83975588114454
62,2023-10-26 15:35:58,69.49006,145.92,274.765169962,171.3325879055102,16.000833333333333,2023-10-26,2023-10-26 16:05:58,77.90430320819502
63,2023-10-26 15:50:58,68.30481,144.6481,275.22833587,168.59147148654856,16.000833333333333,2023-10-26,2023-10-26 16:05:58,78.43308441870597
64,2023-10-26 16:05:58,69.67776,146.1642,274.654018302,161.40923845189442,16.000833333333333,2023-10-26,2023-10-26 16:05:58,77.85596081518172
